Reference;Value;Qty;Footprint
AE1;Antenna;1;RF_Antenna:Texas_SWRA117D_2.4GHz_Right
C1;10n;1;Capacitor_SMD:C_0402_1005Metric
C2;1n;1;Capacitor_SMD:C_0402_1005Metric
C3;33n;1;Capacitor_SMD:C_0402_1005Metric
C4,C5;22p;2;Capacitor_SMD:C_0402_1005Metric
C6;1p5;1;Capacitor_SMD:C_0402_1005Metric
C7;2n2;1;Capacitor_SMD:C_0402_1005Metric
C8;1p;1;Capacitor_SMD:C_0402_1005Metric
C9;4p7;1;Capacitor_SMD:C_0402_1005Metric
C10,C11;Cx;2;Capacitor_SMD:C_0402_1005Metric
J1;Bus_de_datos;1;Connector_Hirose:Hirose_DF13-08P-1.25DSA_1x08_P1.25mm_Vertical
L1;8n2;1;Inductor_SMD:L_0402_1005Metric
L2;2n7;1;Inductor_SMD:L_0402_1005Metric
L3;3n9;1;Inductor_SMD:L_0402_1005Metric
L4;Lx;1;Inductor_SMD:L_0402_1005Metric
R1;22k;1;Resistor_SMD:R_0402_1005Metric
R2;1M;1;Resistor_SMD:R_0402_1005Metric
U1;NRF24L01;1;Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm
Y1;16MHz;1;Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm
